Name,Federation,FideID,B_Year,Sex,Title
"Campora, Daniel H. ",Argentina,100013,1957,Male,Grandmaster
"Adla, Diego ",Argentina,100072,1968,Male,International Master
"Zarnicki, Pablo ",Argentina,100137,1972,Male,Grandmaster
"Sorin, Ariel ",Argentina,100196,1967,Male,Grandmaster
"Fiorito, Fabian ",Argentina,100200,1969,Male,International Master
"Boissonet, Carlos P. ",Argentina,100218,1969,Male,International Master
"Glavina, Pablo ",Spain,100234,1968,Male,International Master
"Slipak, Sergio ",Argentina,100250,1965,Male,Grandmaster
"Tempone, Marcelo ",Argentina,100269,1962,Male,International Master
"Grynszpan, Mariano ",Argentina,100277,1968,Male,FIDE Master
"Juarez, Carlos Eleodoro ",Argentina,100293,1938,Male,
"Hoffman, Alejandro ",Uruguay,100340,1966,Male,Grandmaster
"Llanos, Guillermo ",Argentina,100358,1961,Male,International Master
"Darcyl, Tomas ",Argentina,100404,1964,Male,International Master
"Garbarino, Rodolfo ",Argentina,100412,1963,Male,International Master
"Mahia, Gustavo ",Argentina,100439,1961,Male,International Master
"Amura, Claudia ",Argentina,100536,1970,Female,Woman Grandmaster
"Rodriguez, Jorge Luis ",Argentina,100552,1960,Male,FIDE Master
"Valerga, Diego ",Argentina,100587,1971,Male,Grandmaster
"Leskovar, Mario ",Argentina,100617,1950,Male,International Master
"D`Arruda, Ricardo D. ",Argentina,100692,1959,Male,FIDE Master
"Fulgenzi, Ernesto ",Argentina,100714,1968,Male,FIDE Master
"Needleman, Alejandro ",Argentina,100730,1965,Male,International Master
"Macagno, Sergio ",Argentina,100773,1964,Male,FIDE Master
"Tovillas, Daniel R. ",Argentina,100781,1961,Male,FIDE Master
"Bertaccini, Daniel ",Argentina,100854,1968,Male,FIDE Master
"Escandell Mari, Juan Carlos ",Spain,100919,1962,Male,FIDE Master
"Malbran, Guillermo ",Argentina,100978,1957,Male,International Master
"Rosito, Jorge ",Argentina,100994,1970,Male,International Master
"Aguila, Gustavo ",Argentina,101044,1960,Male,FIDE Master
"Ramirez, Emilio ",Argentina,101109,1954,Male,FIDE Master
"Auciello, Sergio ",Argentina,101141,1962,Male,FIDE Master
"Justo, Damian ",Argentina,101168,1972,Male,FIDE Master
"Perez Pietronave, Carlos ",Argentina,101192,1969,Male,FIDE Master
"Amil Meilan, Horacio ",Argentina,101222,1923,Male,
"Reides, Marcelo ",Argentina,101281,1968,Male,FIDE Master
"Padilla, Luis Guillermo ",Argentina,101290,1986,Male,
"Scarella, Enrique Alejandro ",Argentina,101370,1972,Male,International Master
"De Dovitiis, Alejo ",Argentina,101400,1970,Male,International Master
"Gorisnic, Eduardo ",Argentina,101443,1960,Male,
"Anelli, Antonio ",Argentina,101516,1944,Male,FIDE Master
"Anino, Sergio ",Argentina,101524,1969,Male,Candidate Master
"Varga, Mariano ",Argentina,101575,1952,Male,FIDE Master
"Abate, Tomas ",Argentina,101605,1996,Male,
"Giaccio, Alfredo ",Argentina,101613,1970,Male,Grandmaster
